,CellLineName,TissueMetaclass,DoublingTime,GDSC_CellLine,CCLE_CellLine,SeedingDensity,EMT,unique.id,isBlood,isBone,isBone.Marrow,isBrain,isBreast,isCervix,isColon,isConnective.Tissue,isEsophagus,isHead.and.Neck,isKidney,isLiver,isLung,isLymphoid,isMuscle,isOvary,isPancreas,isProstate,isSkin,isSmall.Intestine,isStomach,isUnclassified,isUninary,isUterus,DNADamageMutation,PI3K,MAPK,tissueid,Cell line,Tissue Supergroup,Metastatic Tissue,Primary Tissue,Tissue Diagnosis,Age,Age Unit,Gender,Ethnicity,SNP Cluster Number,In Final Analysis Set,Growth Media,Freeze Media,CCLE ID,Sanger ID
1321N1,1321N1,Brain,23,NA,1321N1,195,NA,1321N1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,central_nervous_system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23132-87,23132/87,Stomach,44,23132-87,NA,2207,1.075876121,23132-87,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,4.882076793,-0.089984662,-0.089984662,-0.133084786,-0.73309137,NA,NA,stomach,23132/87,Stomach,NA,Stomach,Adenocarcinoma,72,Years,Male,NA,593,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",23132/87,23132-87
769-P,769-P,Kidney,31,769-P,769-P,430,-0.654301095,769-P,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,7.226038071,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,-0.982434321,-0.738098397,kidney,769-P,Kidney,NA,Kidney,Adenocarcinoma,63,Years,Female,Caucasian,167,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",769-P,769-P
786-0,786-O,Kidney,27,786-0,786-O,161,-0.912672956,786-0,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,7.226038071,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,-0.738098397,kidney,786-O,Kidney,NA,Kidney,Adenocarcinoma,58,Years,Male,Caucasian,166,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",786-O,786-0
8305C,8305C,Thyroid,60,8305C,8305C,739,NA,8305C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,thyroid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8505C,8505C,Thyroid,35,8505C,8505C,521,NA,8505C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,thyroid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A172,A172,Brain,44,A172,A172,595,-0.531958764,A172,-0.313914399,-0.082088935,-0.073373083,4.504115315,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,-0.738098397,central_nervous_system,A172,Brain,NA,Brain,Glioblastoma,NA,NA,Male,NA,298,TRUE,"DMEM, 10% FBS, 2mM L-Glutamine",90% FBS; 10% DMSO,A172,A172
A2058,A2058,Skin,18,A2058,A2058,432,-0.485841036,A2058,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,3.728450145,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,NA,NA,skin,A2058,Skin,NA,Skin,Melanoma,43,Years,Male,Caucasian,404,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",A2058,A2058
A2780,A2780,Ovary,20,A2780,A2780,666,-1.04621054,A2780,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,3.689062702,-0.240993924,-0.073373083,-0.26784843,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,1.36225791,1.016311367,-0.738098397,ovary,A2780,Ovary,NA,Ovary,Carcinoma,NA,NA,Female,NA,607,TRUE,"RPMI-1640, 10% FBS, 2mM L-Glutamine","Complete Growth Media, 90%; DMSO, 10%",A2780,A2780
A375,A-375,Skin,25,A375,A-375,300,-0.602244367,A375,-0.313914399,-0.082088935,-0.073373083,-0.22172157,-0.397709417,-0.097260282,-0.27636309,-0.051812823,-0.116484949,-0.143151421,-0.138202914,-0.147947382,-0.571807011,-0.193653861,-0.063500178,-0.270708198,-0.240993924,-0.073373083,3.728450145,-0.036612601,-0.20455629,-0.089984662,-0.089984662,-0.133084786,-0.73309137,1.016311367,1.352608226,skin,A-375,Skin,NA,Skin,Melanoma,NA,NA,Female,NA,224,TRUE,"RPMI-1640 10% FBS, 2mM L-Glutamine","Complete growth medium, 90%; DMSO, 10%",A-375,A375
